year,AREA_LONG_,ward_evpop,EV_Load
2013,1. Etobicoke North,7,18.5
2013,2. Etobicoke North,7,18.5
2013,3. Etobicoke Centre,8,21.15
2013,4. Etobicoke Centre,9,23.79
2013,5. Etobicoke-Lakeshore,9,23.79
2013,6. Etobicoke-Lakeshore,8,21.15
2013,7. York West,6,15.86
2013,8. York West,6,15.86
2013,9. York Centre,6,15.86
2013,10. York Centre,8,21.15
2013,11. York South-Weston,7,18.5
2013,12. York South-Weston,6,15.86
2013,13. Parkdale-High Park,8,21.15
2013,14. Parkdale-High Park,7,18.5
2013,15. Eglinton-Lawrence,7,18.5
2013,16. Eglinton-Lawrence,11,29.08
2013,17. Davenport,7,18.5
2013,18. Davenport,6,15.86
2013,19. Trinity-Spadina,8,21.15
2013,20. Trinity-Spadina,10,26.43
2013,21. St. Paul's,9,23.79
2013,22. St. Paul's,11,29.08
2013,23. Willowdale,10,26.43
2013,24. Willowdale,9,23.79
2013,25. Don Valley West,13,34.37
2013,26. Don Valley West,8,21.15
2013,27. Toronto Centre-Rosedale,11,29.08
2013,28. Toronto Centre-Rosedale,8,21.15
2013,29. Toronto-Danforth,7,18.5
2013,30. Toronto-Danforth,8,21.15
2013,31. Beaches-East York,7,18.5
2013,32. Beaches-East York,9,23.79
2013,33. Don Valley East,7,18.5
2013,34. Don Valley East,7,18.5
2013,35. Scarborough Southwest,7,18.5
2013,36. Scarborough Southwest,7,18.5
2013,37. Scarborough Centre,7,18.5
2013,38. Scarborough Centre,7,18.5
2013,39. Scarborough Agincourt,7,18.5
2013,40. Scarborough Agincourt,7,18.5
2013,41. Scarborough-Rouge River,8,21.15
2013,42. Scarborough-Rouge River,8,21.15
2013,43. Scarborough East,7,18.5
2013,44. Scarborough East,9,23.79
2014,1. Etobicoke North,10,26.43
2014,2. Etobicoke North,11,29.08
2014,3. Etobicoke Centre,12,31.72
2014,4. Etobicoke Centre,13,34.37
2014,5. Etobicoke-Lakeshore,14,37.01
2014,6. Etobicoke-Lakeshore,12,31.72
2014,7. York West,9,23.79
2014,8. York West,9,23.79
2014,9. York Centre,9,23.79
2014,10. York Centre,12,31.72
2014,11. York South-Weston,11,29.08
2014,12. York South-Weston,10,26.43
2014,13. Parkdale-High Park,13,34.37
2014,14. Parkdale-High Park,10,26.43
2014,15. Eglinton-Lawrence,11,29.08
2014,16. Eglinton-Lawrence,18,47.58
2014,17. Davenport,10,26.43
2014,18. Davenport,10,26.43
2014,19. Trinity-Spadina,12,31.72
2014,20. Trinity-Spadina,15,39.65
2014,21. St. Paul's,13,34.37
2014,22. St. Paul's,16,42.3
2014,23. Willowdale,15,39.65
2014,24. Willowdale,13,34.37
2014,25. Don Valley West,20,52.87
2014,26. Don Valley West,12,31.72
2014,27. Toronto Centre-Rosedale,17,44.94
2014,28. Toronto Centre-Rosedale,12,31.72
2014,29. Toronto-Danforth,11,29.08
2014,30. Toronto-Danforth,12,31.72
2014,31. Beaches-East York,10,26.43
2014,32. Beaches-East York,13,34.37
2014,33. Don Valley East,11,29.08
2014,34. Don Valley East,11,29.08
2014,35. Scarborough Southwest,10,26.43
2014,36. Scarborough Southwest,11,29.08
2014,37. Scarborough Centre,11,29.08
2014,38. Scarborough Centre,11,29.08
2014,39. Scarborough Agincourt,11,29.08
2014,40. Scarborough Agincourt,11,29.08
2014,41. Scarborough-Rouge River,12,31.72
2014,42. Scarborough-Rouge River,13,34.37
2014,43. Scarborough East,10,26.43
2014,44. Scarborough East,13,34.37
2015,1. Etobicoke North,16,42.3
2015,2. Etobicoke North,16,42.3
2015,3. Etobicoke Centre,19,50.23
2015,4. Etobicoke Centre,20,52.87
2015,5. Etobicoke-Lakeshore,22,58.16
2015,6. Etobicoke-Lakeshore,18,47.58
2015,7. York West,14,37.01
2015,8. York West,13,34.37
2015,9. York Centre,14,37.01
2015,10. York Centre,19,50.23
2015,11. York South-Weston,16,42.3
2015,12. York South-Weston,15,39.65
2015,13. Parkdale-High Park,20,52.87
2015,14. Parkdale-High Park,16,42.3
2015,15. Eglinton-Lawrence,17,44.94
2015,16. Eglinton-Lawrence,27,71.37
2015,17. Davenport,16,42.3
2015,18. Davenport,15,39.65
2015,19. Trinity-Spadina,19,50.23
2015,20. Trinity-Spadina,23,60.8
2015,21. St. Paul's,20,52.87
2015,22. St. Paul's,25,66.09
2015,23. Willowdale,24,63.44
2015,24. Willowdale,20,52.87
2015,25. Don Valley West,31,81.95
2015,26. Don Valley West,19,50.23
2015,27. Toronto Centre-Rosedale,26,68.73
2015,28. Toronto Centre-Rosedale,19,50.23
2015,29. Toronto-Danforth,16,42.3
2015,30. Toronto-Danforth,18,47.58
2015,31. Beaches-East York,16,42.3
2015,32. Beaches-East York,21,55.51
2015,33. Don Valley East,17,44.94
2015,34. Don Valley East,17,44.94
2015,35. Scarborough Southwest,16,42.3
2015,36. Scarborough Southwest,17,44.94
2015,37. Scarborough Centre,17,44.94
2015,38. Scarborough Centre,17,44.94
2015,39. Scarborough Agincourt,17,44.94
2015,40. Scarborough Agincourt,17,44.94
2015,41. Scarborough-Rouge River,19,50.23
2015,42. Scarborough-Rouge River,20,52.87
2015,43. Scarborough East,16,42.3
2015,44. Scarborough East,20,52.87
2016,1. Etobicoke North,25,66.09
2016,2. Etobicoke North,25,66.09
2016,3. Etobicoke Centre,29,76.66
2016,4. Etobicoke Centre,31,81.95
2016,5. Etobicoke-Lakeshore,34,89.88
2016,6. Etobicoke-Lakeshore,28,74.02
2016,7. York West,22,58.16
2016,8. York West,20,52.87
2016,9. York Centre,21,55.51
2016,10. York Centre,29,76.66
2016,11. York South-Weston,25,66.09
2016,12. York South-Weston,23,60.8
2016,13. Parkdale-High Park,31,81.95
