year,pop,income,toronto_initial,ward_initial,toronto_sales,ward_sales,toronto_disposal,ward-disposal,ward_totalcars,ev_percentage,ward_evpop,EV_Load,AREA_LONG_
2013,0.022,0.018,1113000,21874,78669,1546,38311,753,22668,0.0003,7,18.5,1
2013,0.021,0.019,1113000,22245,78669,1572,38311,766,23051,0.0003,7,18.5,2
2013,0.02,0.025,1113000,25216,78669,1782,38311,868,26131,0.0003,8,21.15,3
2013,0.021,0.028,1113000,27390,78669,1936,38311,943,28384,0.0003,9,23.79,4
2013,0.025,0.03,1113000,30189,78669,2134,38311,1039,31283,0.0003,9,23.79,5
2013,0.023,0.021,1113000,24752,78669,1750,38311,852,25650,0.0003,8,21.15,6
2013,0.019,0.017,1113000,19696,78669,1392,38311,678,20411,0.0003,6,15.86,7
2013,0.018,0.014,1113000,17823,78669,1260,38311,614,18470,0.0003,6,15.86,8
2013,0.017,0.016,1113000,18532,78669,1310,38311,638,19204,0.0003,6,15.86,9
2013,0.025,0.021,1113000,25431,78669,1798,38311,875,26353,0.0003,8,21.15,10
2013,0.023,0.016,1113000,22055,78669,1559,38311,759,22855,0.0003,7,18.5,11
2013,0.02,0.016,1113000,20067,78669,1418,38311,691,20795,0.0003,6,15.86,12
2013,0.02,0.028,1113000,26997,78669,1908,38311,929,27976,0.0003,8,21.15,13
2013,0.021,0.018,1113000,21660,78669,1531,38311,746,22446,0.0003,7,18.5,14
2013,0.023,0.019,1113000,23516,78669,1662,38311,809,24369,0.0003,7,18.5,15
2013,0.02,0.047,1113000,36869,78669,2606,38311,1269,38206,0.0003,11,29.08,16
2013,0.019,0.019,1113000,21320,78669,1507,38311,734,22094,0.0003,7,18.5,17
2013,0.018,0.018,1113000,19977,78669,1412,38311,688,20702,0.0003,6,15.86,18
2013,0.024,0.023,1113000,25878,78669,1829,38311,891,26816,0.0003,8,21.15,19
2013,0.033,0.022,1113000,30625,78669,2165,38311,1054,31736,0.0003,10,26.43,20
2013,0.019,0.031,1113000,27767,78669,1963,38311,956,28774,0.0003,9,23.79,21
2013,0.027,0.034,1113000,33890,78669,2395,38311,1167,35119,0.0003,11,29.08,22
2013,0.035,0.022,1113000,32111,78669,2270,38311,1105,33275,0.0003,10,26.43,23
2013,0.025,0.024,1113000,27453,78669,1940,38311,945,28448,0.0003,9,23.79,24
2013,0.022,0.054,1113000,42277,78669,2988,38311,1455,43810,0.0003,13,34.37,25
2013,0.023,0.024,1113000,25993,78669,1837,38311,895,26936,0.0003,8,21.15,26
2013,0.033,0.029,1113000,34816,78669,2461,38311,1198,36078,0.0003,11,29.08,27
2013,0.027,0.02,1113000,26047,78669,1841,38311,897,26992,0.0003,8,21.15,28
2013,0.017,0.023,1113000,22152,78669,1566,38311,762,22955,0.0003,7,18.5,29
2013,0.021,0.024,1113000,24695,78669,1746,38311,850,25591,0.0003,8,21.15,30
2013,0.02,0.019,1113000,21785,78669,1540,38311,750,22575,0.0003,7,18.5,31
2013,0.021,0.029,1113000,27945,78669,1975,38311,962,28958,0.0003,9,23.79,32
2013,0.022,0.019,1113000,22933,78669,1621,38311,789,23764,0.0003,7,18.5,33
2013,0.022,0.02,1113000,23388,78669,1653,38311,805,24236,0.0003,7,18.5,34
2013,0.023,0.016,1113000,21582,78669,1525,38311,743,22364,0.0003,7,18.5,35
2013,0.02,0.021,1113000,23185,78669,1639,38311,798,24026,0.0003,7,18.5,36
2013,0.024,0.018,1113000,23031,78669,1628,38311,793,23867,0.0003,7,18.5,37
2013,0.025,0.017,1113000,23493,78669,1661,38311,809,24345,0.0003,7,18.5,38
2013,0.021,0.019,1113000,22486,78669,1589,38311,774,23302,0.0003,7,18.5,39
2013,0.024,0.017,1113000,22679,78669,1603,38311,781,23502,0.0003,7,18.5,40
2013,0.026,0.02,1113000,25845,78669,1827,38311,890,26782,0.0003,8,21.15,41
2013,0.028,0.02,1113000,26530,78669,1875,38311,913,27493,0.0003,8,21.15,42
2013,0.02,0.018,1113000,21172,78669,1496,38311,729,21939,0.0003,7,18.5,43
2013,0.023,0.027,1113000,27631,78669,1953,38311,951,28633,0.0003,9,23.79,44
2014,0.022,0.018,1113000,21874,77218,1518,36402,715,22677,0.0005,10,26.43,1
2014,0.021,0.019,1113000,22245,77218,1543,36402,728,23060,0.0005,11,29.08,2
2014,0.02,0.025,1113000,25216,77218,1749,36402,825,26141,0.0005,12,31.72,3
2014,0.021,0.028,1113000,27390,77218,1900,36402,896,28395,0.0005,13,34.37,4
2014,0.025,0.03,1113000,30189,77218,2094,36402,987,31296,0.0005,14,37.01,5
2014,0.023,0.021,1113000,24752,77218,1717,36402,810,25660,0.0005,12,31.72,6
2014,0.019,0.017,1113000,19696,77218,1367,36402,644,20419,0.0005,9,23.79,7
2014,0.018,0.014,1113000,17823,77218,1237,36402,583,18477,0.0005,9,23.79,8
2014,0.017,0.016,1113000,18532,77218,1286,36402,606,19211,0.0005,9,23.79,9
2014,0.025,0.021,1113000,25431,77218,1764,36402,832,26363,0.0005,12,31.72,10
2014,0.023,0.016,1113000,22055,77218,1530,36402,721,22864,0.0005,11,29.08,11
2014,0.02,0.016,1113000,20067,77218,1392,36402,656,20803,0.0005,10,26.43,12
2014,0.02,0.028,1113000,26997,77218,1873,36402,883,27987,0.0005,13,34.37,13
2014,0.021,0.018,1113000,21660,77218,1503,36402,708,22455,0.0005,10,26.43,14
